ProbeId	GeneId	GeneSymbol	GeneAccnum	GeneRefseqid	GeneEnsemblid	GeneName
32062_at	9684	LRRC14	D25216	NM_014665	NA	leucine rich repeat containing 14
32069_at	9683	N4BP1	AB014515	NM_153029	NA	Nedd4 binding protein 1
32088_at	8548	BLZF1	U79751	NM_003666	NA	basic leucine zipper nuclear factor 1 (JEM-1)
32091_at	9673	KIAA0446	AB007915	NM_014655	NA	KIAA0446 gene product
32094_at	9469	CHST3	AB017915	NM_004273	NA	carbohydrate (chondroitin 6) sulfotransferase 3
32099_at	9667	SAFB2	D50928	NM_014649	NA	scaffold attachment factor B2
32128_at	6362	CCL18	Y13710	NM_002988	NA	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)
32137_at	3714	JAG2	Y14330	NA	NA	jagged 2
32209_at	23625	FAM89B	AF052151	NM_152832	NA	family with sequence similarity 89, member B
32259_at	2145	EZH1	AB002386	NM_001991	NA	enhancer of zeste homolog 1 (Drosophila)
32402_s_at	8189	SYMPK	Y10931	NM_004819	NA	symplekin
32502_at	81544	GDPD5	AL041124	NM_030792	NA	glycerophosphodiester phosphodiesterase domain containing 5
32540_at	5533	PPP3CC	AI762547	NM_005605	NA	Protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform (calcineurin A gamma)
32541_at	5533	PPP3CC	S46622	NM_005605	NA	protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform (calcineurin A gamma)
32625_at	4881	NPR1	X15357	NM_000906	NA	natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)
32699_s_at	5817	PVR	X64116	NM_006505	NA	poliovirus receptor
32723_at	1477	CSTF1	L02547	NA	NA	cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa
32811_at	4641	MYO1C	X98507	NM_033375	NA	myosin IC
32836_at	10554	AGPAT1	U56417	NA	NA	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)
32837_at	10555	AGPAT2	U56418	NA	NA	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)
33132_at	29894	CPSF1	U37012	NM_013291	NA	cleavage and polyadenylation specific factor 1, 160kDa
33148_at	51663	ZFR	AI459274	NM_016107	NA	zinc finger RNA binding protein
33197_at	4647	MYO7A	U39226	NM_000260	NA	myosin VIIA
33304_at	3669	ISG20	U88964	NM_002201	NA	interferon stimulated exonuclease gene 20kDa
33307_at	27341	CGI-96	AL022316	NM_015703	NA	CGI-96 protein
33322_i_at	2810	SFN	X57348	NM_006142	NA	stratifin
33323_r_at	2810	SFN	X57348	NM_006142	NA	stratifin
33494_at	2110	ETFDH	S69232	NM_004453	NA	electron-transferring-flavoprotein dehydrogenase
33579_i_at	8484	GALR3	Z97630	NM_003614	NA	galanin receptor 3
33646_g_at	2760	GM2A	X61094	NM_000405	NA	GM2 ganglioside activator
33736_at	9399	STOML1	Y16522	NM_004809	NA	stomatin (EPB72)-like 1
33760_at	5195	PEX14	AB017546	NM_004565	NA	peroxisomal biogenesis factor 14
33767_at	4744	NEFH	X15306	NM_021076	NA	neurofilament, heavy polypeptide 200kDa
33768_at	1762	DMWD	L19267	NM_004943	NA	dystrophia myotonica-containing WD repeat motif
33778_at	25771	TBC1D22A	AL096779	NM_014346	NA	TBC1 domain family, member 22A
33814_at	10298	PAK4	AF005046	NA	NA	p21(CDKN1A)-activated kinase 4
33850_at	4134	MAP4	W28892	NA	NA	microtubule-associated protein 4
34031_i_at	889	KRIT1	U90269	NA	NA	KRIT1, ankyrin repeat containing
34063_at	9400	RECQL5	AB006533	NA	NA	RecQ protein-like 5
34187_at	5939	RBMS2	D28483	NM_002898	NA	RNA binding motif, single stranded interacting protein 2
34206_at	116985	CENTD2	AB018325	NA	NA	centaurin, delta 2
34210_at	1043	CD52	N90866	NM_001803	NA	CD52 antigen (CAMPATH-1 antigen)
34221_at	22993	KIAA0194	D83778	NA	NA	KIAA0194 protein
34225_at	7469	WHSC2	AF101434	NM_005663	NA	Wolf-Hirschhorn syndrome candidate 2
34260_at	9894	KIAA0683	AB014583	NM_016111	NA	KIAA0683 gene product
34406_at	23241	PACS2	AB011174	NM_015197	NA	phosphofurin acidic cluster sorting protein 2
34408_at	6253	RTN2	AF004222	NA	NA	reticulon 2
34449_at	835	CASP2	U13022	NA	NA	caspase 2, apoptosis-related cysteine peptidase (neural precursor cell expressed, developmentally down-regulated 2)
34471_at	4626	MYH8	M36769	NM_002472	NA	myosin, heavy polypeptide 8, skeletal muscle, perinatal
34478_at	9230	RAB11B	X79780	NM_004218	NA	RAB11B, member RAS oncogene family
34689_at	11277	TREX1	AJ243797	NA	NA	three prime repair exonuclease 1
34697_at	4040	LRP6	AF074264	NM_002336	NA	low density lipoprotein receptor-related protein 6
34726_at	784	CACNB3	U07139	NM_000725	NA	calcium channel, voltage-dependent, beta 3 subunit
34764_at	23395	LARS2	D21851	NM_015340	NA	leucyl-tRNA synthetase 2, mitochondrial
34846_at	816	CAMK2B	AF112472	NA	NA	Calcium/calmodulin-dependent protein kinase (CaM kinase) II beta
34858_at	23510	KCTD2	D79998	NM_015353	NA	potassium channel tetramerisation domain containing 2
34868_at	23381	EST1B	AB029012	NM_015327	NA	Est1p-like protein B
35147_at	23263	MCF2L	AB002360	NM_024979	NA	MCF.2 cell line derived transforming sequence-like
35148_at	27134	TJP3	AC005954	NM_014428	NA	tight junction protein 3 (zona occludens 3)
35150_at	958	CD40	X60592	NA	NA	CD40 antigen (TNF receptor superfamily member 5)
35156_at	203069	R3HCC1	AL050297	XM_114618	NA	R3H domain and coiled-coil containing 1
35160_at	8861	LDB1	AF064491	NM_003893	NA	LIM domain binding 1
35179_at	26229	B3GAT3	AB009598	NM_012200	NA	beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)
35201_at	3191	HNRPL	X16135	NA	NA	heterogeneous nuclear ribonucleoprotein L
35254_at	10906	TRAFD1	AB007447	NM_006700	NA	TRAF-type zinc finger domain containing 1
35265_at	9513	FXR2	AF044263	NM_004860	NA	fragile X mental retardation, autosomal homolog 2
35436_at	2801	GOLGA2	L06147	NM_004486	NA	golgi autoantigen, golgin subfamily a, 2
35617_at	5598	MAPK7	U29725	NA	NA	mitogen-activated protein kinase 7
35626_at	6448	SGSH	U30894	NM_000199	NA	N-sulfoglucosamine sulfohydrolase (sulfamidase)
35666_at	6405	SEMA3F	U38276	NM_004186	NA	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F
35671_at	2975	GTF3C1	U02619	NM_001520	NA	general transcription factor IIIC, polypeptide 1, alpha 220kDa
35685_at	6015	RING1	AL031228	NM_002931	NA	ring finger protein 1
35776_at	6453	ITSN1	AF064243	NA	NA	intersectin 1 (SH3 domain protein)
35820_at	2760	GM2A	M76477	NM_000405	NA	GM2 ganglioside activator
35846_at	7067	THRA	M24899	NA	NA	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)
35974_at	4033	LRMP	U10485	NM_006152	NA	lymphoid-restricted membrane protein
36004_at	8517	IKBKG	AF074382	NM_003639	NA	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma
36019_at	8859	STK19	L26260	NA	NA	serine/threonine kinase 19
36030_at	25900	HOM-TES-103	AL080214	NA	NA	HOM-TES-103 tumor antigen-like
36084_at	9820	CUL7	D38548	NM_014780	NA	cullin 7
36129_at	9905	RUTBC1	AB007857	NM_014853	NA	RUN and TBC1 domain containing 1
36475_at	23464	GCAT	Z97630	NM_014291	NA	glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)
36499_at	1952	CELSR2	D87469	NM_001408	NA	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)
36545_s_at	9814	SFI1	AB011114	NA	NA	Sfi1 homolog, spindle assembly associated (yeast)
36552_at	26005	DKFZP586P0123	AL080220	NM_015531	NA	hypothetical protein
36553_at	8623	ASMTL	AA669799	NM_004192	NA	acetylserotonin O-methyltransferase-like
36554_at	8623	ASMTL	Y15521	NM_004192	NA	acetylserotonin O-methyltransferase-like
36564_at	127544	IBRDC3	W27419	NM_153341	NA	IBR domain containing 3
36566_at	1497	CTNS	AJ222967	NA	NA	cystinosis, nephropathic
36612_at	23201	KIAA0280	D87470	XM_370635	NA	KIAA0280 protein
36711_at	23764	MAFF	AL021977	NA	NA	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)
36742_at	89870	TRIM15	U34249	NA	NA	tripartite motif-containing 15
36829_at	5187	PER1	AF022991	NM_002616	NA	period homolog 1 (Drosophila)
36830_at	4285	MIPEP	U80034	NM_005932	NA	mitochondrial intermediate peptidase
36865_at	23357	ANGEL1	AB018302	NM_015305	NA	angel homolog 1 (Drosophila)
36888_at	23354	KIAA0841	AB020648	XM_049237	NA	KIAA0841
36907_at	4598	MVK	M88468	NM_000431	NA	mevalonate kinase (mevalonic aciduria)
36920_at	4534	MTM1	U46024	NM_000252	NA	myotubularin 1
36936_at	7264	TSTA3	U58766	NM_003313	NA	tissue specific transplantation antigen P35B
36994_at	527	ATP6V0C	M62762	NM_001694	NA	ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c
37004_at	6439	SFTPB	J02761	NA	NA	surfactant, pulmonary-associated protein B
37005_at	4681	NBL1	D28124	NA	NA	neuroblastoma, suppression of tumorigenicity 1
37012_at	832	CAPZB	U03271	NM_004930	NA	capping protein (actin filament) muscle Z-line, beta
37020_at	1401	CRP	X56692	NM_000567	NA	C-reactive protein, pentraxin-related
37022_at	5549	PRELP	U41344	NA	NA	proline/arginine-rich end leucine-rich repeat protein
37028_at	23645	PPP1R15A	U83981	NM_014330	NA	protein phosphatase 1, regulatory (inhibitor) subunit 15A
37079_at	11049	YDD19	U82319	NA	NA	YDD19 protein
37117_at	NA	NA	Z83838	NA	NA	NA
37145_at	10578	GNLY	M85276	NA	NA	granulysin
37152_at	5467	PPARD	L07592	NA	NA	peroxisome proliferative activated receptor, delta
37170_at	55589	BMP2K	AB015331	NA	NA	BMP2 inducible kinase
37201_at	3700	ITIH4	D38535	NM_002218	NA	inter-alpha (globulin) inhibitor H4 (plasma Kallikrein-sensitive glycoprotein)
37226_at	662	BNIP1	U15172	NA	NA	BCL2/adenovirus E1B 19kDa interacting protein 1
37232_at	9786	KIAA0586	AB011158	NM_014749	NA	KIAA0586
37254_at	7692	ZNF133	U09366	NM_003434	NA	zinc finger protein 133 (clone pHZ-13)
37278_at	6901	TAZ	X92762	NA	NA	tafazzin (cardiomyopathy, dilated 3A (X-linked); endocardial fibroelastosis 2; Barth syndrome)
37384_at	9647	PPM1F	D86995	NM_014634	NA	protein phosphatase 1F (PP2C domain containing)
37408_at	9902	MRC2	AB014609	NM_006039	NA	mannose receptor, C type 2
37424_at	54535	CCHCR1	AB029343	NM_019052	NA	coiled-coil alpha-helical rod protein 1
37425_g_at	54535	CCHCR1	AB029343	NM_019052	NA	coiled-coil alpha-helical rod protein 1
37433_at	9063	PIAS2	AF077954	NA	NA	protein inhibitor of activated STAT, 2
37462_i_at	8175	SF3A2	L21990	NM_007165	NA	splicing factor 3a, subunit 2, 66kDa
37512_at	8630	HSD17B6	U89281	NM_003725	NA	hydroxysteroid (17-beta) dehydrogenase 6
37547_at	27241	PTHB1	U85995	NA	NA	parathyroid hormone-responsive B1
37549_g_at	27241	PTHB1	U87408	NA	NA	parathyroid hormone-responsive B1
37566_at	23349	KIAA1045	AB028968	XM_048592	NA	KIAA1045
37577_at	84986	ARHGAP19	U79256	NM_032900	NA	Rho GTPase activating protein 19
37586_at	7701	ZNF142	D87073	NM_005081	NA	zinc finger protein 142 (clone pHZ-49)
37590_g_at	374655	DKFZp547K1113	AL109698	NM_198526	NA	Hypothetical protein DKFZp547K1113
37652_at	23523	CABIN1	AB002328	NM_012295	NA	calcineurin binding protein 1
37793_r_at	5892	RAD51L3	AF034956	NA	NA	RAD51-like 3 (S. cerevisiae)
37796_at	4034	LRCH4	AF053356	NM_002319	NA	leucine-rich repeats and calponin homology (CH) domain containing 4
37802_r_at	54629	FAM63B	AL049226	NM_019092	NA	family with sequence similarity 63, member B
37831_at	23094	SIPA1L3	AB011117	NM_015073	NA	signal-induced proliferation-associated 1 like 3
37860_at	26152	ZNF337	AL049942	NM_015655	NA	zinc finger protein 337
37872_at	8629	JRK	AF072468	NM_003724	NA	jerky homolog (mouse)
37892_at	1301	COL11A1	J04177	NA	NA	collagen, type XI, alpha 1
37943_at	23503	ZFYVE26	AB002319	NM_015346	NA	zinc finger, FYVE domain containing 26
37950_at	5550	PREP	X74496	NM_002726	NA	prolyl endopeptidase
37953_s_at	41	ACCN2	U78181	NA	NA	amiloride-sensitive cation channel 2, neuronal
37965_at	29780	PARVB	AA181053	NA	NA	parvin, beta
37966_at	29780	PARVB	AA187563	NA	NA	parvin, beta
37986_at	2057	EPOR	M60459	NM_000121	NA	erythropoietin receptor
37996_s_at	1760	DMPK	L08835	NM_004409	NA	dystrophia myotonica-protein kinase
38037_at	1839	HBEGF	M60278	NM_001945	NA	heparin-binding EGF-like growth factor
38043_at	60343	FAM3A	X55448	NM_021806	NA	family with sequence similarity 3, member A
38069_at	1186	CLCN7	Z67743	NM_001287	NA	chloride channel 7
38149_at	9938	ARHGAP25	D29642	NA	NA	Rho GTPase activating protein 25
38157_at	1797	DOM3Z	AF059252	NM_005510	NA	dom-3 homolog Z (C. elegans)
38158_at	9700	ESPL1	D79987	NM_012291	NA	extra spindle poles like 1 (S. cerevisiae)
38241_at	10384	BTN3A3	U90548	NA	NA	butyrophilin, subfamily 3, member A3
38269_at	25865	PRKD2	AL050147	NM_016457	NA	protein kinase D2
38290_at	10636	RGS14	AF037195	NM_006480	NA	regulator of G-protein signalling 14
38340_at	9026	HIP1R	AB014555	NM_003959	NA	huntingtin interacting protein-1-related
38398_at	8567	MADD	AB002356	NA	NA	MAP-kinase activating death domain
38447_at	156	ADRBK1	U08438	NM_001619	NA	adrenergic, beta, receptor kinase 1
38487_at	23166	STAB1	D87433	NM_015136	NA	stabilin 1
38521_at	4099	MAG	X59350	NA	NA	myelin associated glycoprotein
38671_at	23129	PLXND1	AB014520	NM_015103	NA	plexin D1
38691_s_at	6440	SFTPC	J03553	NM_003018	NA	surfactant, pulmonary-associated protein C
38703_at	23549	DNPEP	AF005050	NM_012100	NA	aspartyl aminopeptidase
38707_r_at	1874	E2F4	S75174	NM_001950	NA	E2F transcription factor 4, p107/p130-binding
38710_at	55611	OTUB1	AL096714	NM_017670	NA	OTU domain, ubiquitin aldehyde binding 1
38766_at	10847	SRCAP	AB002307	NM_006662	NA	Snf2-related CBP activator protein
38892_at	23506	KIAA0240	D87077	NM_015349	NA	KIAA0240
38918_at	9580	SOX13	AF083105	NM_005686	NA	SRY (sex determining region Y)-box 13
38964_r_at	7454	WAS	U12707	NM_000377	NA	Wiskott-Aldrich syndrome (eczema-thrombocytopenia)
39248_at	360	AQP3	N74607	NM_004925	NA	aquaporin 3
39249_at	360	AQP3	AB001325	NM_004925	NA	aquaporin 3
39313_at	65125	WNK1	AB002342	NM_018979	NA	WNK lysine deficient protein kinase 1
39318_at	8115	TCL1A	X82240	NM_021966	NA	T-cell leukemia/lymphoma 1A
39402_at	3553	IL1B	M15330	NM_000576	NA	interleukin 1, beta
39548_at	4862	NPAS2	U77970	NM_002518	NA	neuronal PAS domain protein 2
39549_at	4862	NPAS2	AI743090	NM_002518	NA	neuronal PAS domain protein 2
39582_at	1540	CYLD	AL050166	NM_015247	NA	Cylindromatosis (turban tumor syndrome)
39650_s_at	80003	PCNXL2	AB007895	NA	NA	pecanex-like 2 (Drosophila)
39705_at	23309	SIN3B	AB014600	NM_015260	NA	SIN3 homolog B, transcription regulator (yeast)
39729_at	7001	PRDX2	L19185	NA	NA	peroxiredoxin 2
39763_at	3263	HPX	M36803	NM_000613	NA	hemopexin
39817_s_at	10591	C6orf108	AF040105	NA	NA	chromosome 6 open reading frame 108
39835_at	6305	SBF1	U93181	NM_002972	NA	SET binding factor 1
39854_r_at	57104	PNPLA2	AF055000	NM_020376	NA	patatin-like phospholipase domain containing 2
39891_at	374655	DKFZp547K1113	AI246730	NM_198526	NA	hypothetical protein DKFZp547K1113
39966_at	10675	CSPG5	AF059274	NM_006574	NA	chondroitin sulfate proteoglycan 5 (neuroglycan C)
40016_g_at	23227	MAST4	AB002301	XM_291141	NA	microtubule associated serine/threonine kinase family member 4
40020_at	1951	CELSR3	AB011536	NM_001407	NA	cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)
40093_at	4059	LU	X83425	NA	NA	Lutheran blood group (Auberger b antigen included)
40148_at	323	APBB2	U62325	NM_173075	NA	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)
40149_at	25970	SH2B	AL049924	NM_015503	NA	SH2-B homolog
40189_at	6418	SET	M93651	NM_003011	NA	SET translocation (myeloid leukemia-associated)
40225_at	2580	GAK	D88435	NM_005255	NA	cyclin G associated kinase
40255_at	55794	DDX28	AC004531	NM_018380	NA	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28
40273_at	56848	SPHK2	AA485440	NM_020126	NA	sphingosine kinase 2
40284_at	3170	FOXA2	AB028021	NA	NA	forkhead box A2
40359_at	8045	RASSF7	M91083	NM_003475	NA	Ras association (RalGDS/AF-6) domain family 7
40420_at	6793	STK10	AB015718	NM_005990	NA	serine/threonine kinase 10
40446_at	5252	PHF1	AL021366	NA	NA	PHD finger protein 1
40465_at	9416	DDX23	AF026402	NM_004818	NA	DEAD (Asp-Glu-Ala-Asp) box polypeptide 23
40472_at	254531	LOC254531	AF007155	NM_153613	NA	PLSC domain containing protein
40489_at	1822	ATN1	D31840	NA	NA	atrophin 1
40524_at	11099	PTPN21	X79510	NM_007039	NA	protein tyrosine phosphatase, non-receptor type 21
40560_at	6909	TBX2	U28049	NM_005994	NA	T-box 2
40562_at	2767	GNA11	AF011499	NM_002067	NA	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)
40569_at	7593	ZNF42	M58297	NA	NA	zinc finger protein 42 (myeloid-specific retinoic acid-responsive)
40612_at	23033	KIAA1117	AB029040	NM_015018	NA	KIAA1117
40640_at	29781	hCAP-H2	U62317	NA	NA	kleisin beta
